"ASIHCode","dwc.collectionCode","idigbio.recordset","dwc.institutionCode","recordset_uuid","collection_uuid","logo","collection_description"
"BPBM","bish","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","bpbm","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","1614381b-560f-4618-8ebb-c41a3bf52a46","http://kamaainakids.com/public/kamaainakids/doucments/CompanyLogo.jpg","Started in 1889, the Bishop Museum Ichthyology collection is among the largest and most complete for the vast Indo-Pacific region. The primary emphasis of the collection is tropical coral-reef fishes within the Indo-Pacific, but it also includes material from pelagic and deep-sea environments. The collection includes a few freshwater fishes, mostly from rivers and streams in the Hawaiian Islands and elsewhere in Oceania. The collection is fully digitized, with complete and annotated records for all specimens entered in the database, and many of the film images scanned. The fish collection represents the bulk of the lifetime work of Dr. John E. Randall, Senior Ichthyologist (now Emeritus), who began working in the collection in 1965 and a half-century later continues to publish on fish systematics and biogeography. Dr. Richard L. Pyle continues to add to the collection, with an emphasis on collecting specimens from deep coral-reef ecosystems (so-called Mesophotic Coral Ecosystems, or the Coral-Reef Twilight Zone), using advanced diving technology."
"BPBM","mo","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","bpbm","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","1614381b-560f-4618-8ebb-c41a3bf52a46","http://kamaainakids.com/public/kamaainakids/doucments/CompanyLogo.jpg","Started in 1889, the Bishop Museum Ichthyology collection is among the largest and most complete for the vast Indo-Pacific region. The primary emphasis of the collection is tropical coral-reef fishes within the Indo-Pacific, but it also includes material from pelagic and deep-sea environments. The collection includes a few freshwater fishes, mostly from rivers and streams in the Hawaiian Islands and elsewhere in Oceania. The collection is fully digitized, with complete and annotated records for all specimens entered in the database, and many of the film images scanned. The fish collection represents the bulk of the lifetime work of Dr. John E. Randall, Senior Ichthyologist (now Emeritus), who began working in the collection in 1965 and a half-century later continues to publish on fish systematics and biogeography. Dr. Richard L. Pyle continues to add to the collection, with an emphasis on collecting specimens from deep coral-reef ecosystems (so-called Mesophotic Coral Ecosystems, or the Coral-Reef Twilight Zone), using advanced diving technology."
"BPBM","ent","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","bpbm","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","1614381b-560f-4618-8ebb-c41a3bf52a46","http://kamaainakids.com/public/kamaainakids/doucments/CompanyLogo.jpg","Started in 1889, the Bishop Museum Ichthyology collection is among the largest and most complete for the vast Indo-Pacific region. The primary emphasis of the collection is tropical coral-reef fishes within the Indo-Pacific, but it also includes material from pelagic and deep-sea environments. The collection includes a few freshwater fishes, mostly from rivers and streams in the Hawaiian Islands and elsewhere in Oceania. The collection is fully digitized, with complete and annotated records for all specimens entered in the database, and many of the film images scanned. The fish collection represents the bulk of the lifetime work of Dr. John E. Randall, Senior Ichthyologist (now Emeritus), who began working in the collection in 1965 and a half-century later continues to publish on fish systematics and biogeography. Dr. Richard L. Pyle continues to add to the collection, with an emphasis on collecting specimens from deep coral-reef ecosystems (so-called Mesophotic Coral Ecosystems, or the Coral-Reef Twilight Zone), using advanced diving technology."
"BPBM","herp-bpbm","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","bpbm","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","1614381b-560f-4618-8ebb-c41a3bf52a46","http://kamaainakids.com/public/kamaainakids/doucments/CompanyLogo.jpg","Started in 1889, the Bishop Museum Ichthyology collection is among the largest and most complete for the vast Indo-Pacific region. The primary emphasis of the collection is tropical coral-reef fishes within the Indo-Pacific, but it also includes material from pelagic and deep-sea environments. The collection includes a few freshwater fishes, mostly from rivers and streams in the Hawaiian Islands and elsewhere in Oceania. The collection is fully digitized, with complete and annotated records for all specimens entered in the database, and many of the film images scanned. The fish collection represents the bulk of the lifetime work of Dr. John E. Randall, Senior Ichthyologist (now Emeritus), who began working in the collection in 1965 and a half-century later continues to publish on fish systematics and biogeography. Dr. Richard L. Pyle continues to add to the collection, with an emphasis on collecting specimens from deep coral-reef ecosystems (so-called Mesophotic Coral Ecosystems, or the Coral-Reef Twilight Zone), using advanced diving technology."
"BPBM","i","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","bpbm","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","1614381b-560f-4618-8ebb-c41a3bf52a46","http://kamaainakids.com/public/kamaainakids/doucments/CompanyLogo.jpg","Started in 1889, the Bishop Museum Ichthyology collection is among the largest and most complete for the vast Indo-Pacific region. The primary emphasis of the collection is tropical coral-reef fishes within the Indo-Pacific, but it also includes material from pelagic and deep-sea environments. The collection includes a few freshwater fishes, mostly from rivers and streams in the Hawaiian Islands and elsewhere in Oceania. The collection is fully digitized, with complete and annotated records for all specimens entered in the database, and many of the film images scanned. The fish collection represents the bulk of the lifetime work of Dr. John E. Randall, Senior Ichthyologist (now Emeritus), who began working in the collection in 1965 and a half-century later continues to publish on fish systematics and biogeography. Dr. Richard L. Pyle continues to add to the collection, with an emphasis on collecting specimens from deep coral-reef ecosystems (so-called Mesophotic Coral Ecosystems, or the Coral-Reef Twilight Zone), using advanced diving technology."
"BPBM","vz-bbm-ng","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","bpbm","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","1614381b-560f-4618-8ebb-c41a3bf52a46","http://kamaainakids.com/public/kamaainakids/doucments/CompanyLogo.jpg","Started in 1889, the Bishop Museum Ichthyology collection is among the largest and most complete for the vast Indo-Pacific region. The primary emphasis of the collection is tropical coral-reef fishes within the Indo-Pacific, but it also includes material from pelagic and deep-sea environments. The collection includes a few freshwater fishes, mostly from rivers and streams in the Hawaiian Islands and elsewhere in Oceania. The collection is fully digitized, with complete and annotated records for all specimens entered in the database, and many of the film images scanned. The fish collection represents the bulk of the lifetime work of Dr. John E. Randall, Senior Ichthyologist (now Emeritus), who began working in the collection in 1965 and a half-century later continues to publish on fish systematics and biogeography. Dr. Richard L. Pyle continues to add to the collection, with an emphasis on collecting specimens from deep coral-reef ecosystems (so-called Mesophotic Coral Ecosystems, or the Coral-Reef Twilight Zone), using advanced diving technology."
"BPBM","enttyp","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","bpbm","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","1614381b-560f-4618-8ebb-c41a3bf52a46","http://kamaainakids.com/public/kamaainakids/doucments/CompanyLogo.jpg","Started in 1889, the Bishop Museum Ichthyology collection is among the largest and most complete for the vast Indo-Pacific region. The primary emphasis of the collection is tropical coral-reef fishes within the Indo-Pacific, but it also includes material from pelagic and deep-sea environments. The collection includes a few freshwater fishes, mostly from rivers and streams in the Hawaiian Islands and elsewhere in Oceania. The collection is fully digitized, with complete and annotated records for all specimens entered in the database, and many of the film images scanned. The fish collection represents the bulk of the lifetime work of Dr. John E. Randall, Senior Ichthyologist (now Emeritus), who began working in the collection in 1965 and a half-century later continues to publish on fish systematics and biogeography. Dr. Richard L. Pyle continues to add to the collection, with an emphasis on collecting specimens from deep coral-reef ecosystems (so-called Mesophotic Coral Ecosystems, or the Coral-Reef Twilight Zone), using advanced diving technology."
"BPBM","s","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","bpbm","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","1614381b-560f-4618-8ebb-c41a3bf52a46","http://kamaainakids.com/public/kamaainakids/doucments/CompanyLogo.jpg","Started in 1889, the Bishop Museum Ichthyology collection is among the largest and most complete for the vast Indo-Pacific region. The primary emphasis of the collection is tropical coral-reef fishes within the Indo-Pacific, but it also includes material from pelagic and deep-sea environments. The collection includes a few freshwater fishes, mostly from rivers and streams in the Hawaiian Islands and elsewhere in Oceania. The collection is fully digitized, with complete and annotated records for all specimens entered in the database, and many of the film images scanned. The fish collection represents the bulk of the lifetime work of Dr. John E. Randall, Senior Ichthyologist (now Emeritus), who began working in the collection in 1965 and a half-century later continues to publish on fish systematics and biogeography. Dr. Richard L. Pyle continues to add to the collection, with an emphasis on collecting specimens from deep coral-reef ecosystems (so-called Mesophotic Coral Ecosystems, or the Coral-Reef Twilight Zone), using advanced diving technology."
"BPBM","vz-bbm-x","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","bpbm","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","1614381b-560f-4618-8ebb-c41a3bf52a46","http://kamaainakids.com/public/kamaainakids/doucments/CompanyLogo.jpg","Started in 1889, the Bishop Museum Ichthyology collection is among the largest and most complete for the vast Indo-Pacific region. The primary emphasis of the collection is tropical coral-reef fishes within the Indo-Pacific, but it also includes material from pelagic and deep-sea environments. The collection includes a few freshwater fishes, mostly from rivers and streams in the Hawaiian Islands and elsewhere in Oceania. The collection is fully digitized, with complete and annotated records for all specimens entered in the database, and many of the film images scanned. The fish collection represents the bulk of the lifetime work of Dr. John E. Randall, Senior Ichthyologist (now Emeritus), who began working in the collection in 1965 and a half-century later continues to publish on fish systematics and biogeography. Dr. Richard L. Pyle continues to add to the collection, with an emphasis on collecting specimens from deep coral-reef ecosystems (so-called Mesophotic Coral Ecosystems, or the Coral-Reef Twilight Zone), using advanced diving technology."
"BPBM","vz-bpbm","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","bpbm","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","1614381b-560f-4618-8ebb-c41a3bf52a46","http://kamaainakids.com/public/kamaainakids/doucments/CompanyLogo.jpg","Started in 1889, the Bishop Museum Ichthyology collection is among the largest and most complete for the vast Indo-Pacific region. The primary emphasis of the collection is tropical coral-reef fishes within the Indo-Pacific, but it also includes material from pelagic and deep-sea environments. The collection includes a few freshwater fishes, mostly from rivers and streams in the Hawaiian Islands and elsewhere in Oceania. The collection is fully digitized, with complete and annotated records for all specimens entered in the database, and many of the film images scanned. The fish collection represents the bulk of the lifetime work of Dr. John E. Randall, Senior Ichthyologist (now Emeritus), who began working in the collection in 1965 and a half-century later continues to publish on fish systematics and biogeography. Dr. Richard L. Pyle continues to add to the collection, with an emphasis on collecting specimens from deep coral-reef ecosystems (so-called Mesophotic Coral Ecosystems, or the Coral-Reef Twilight Zone), using advanced diving technology."
